ID,calorie,water,carbohydrate,fiber,sugar,protein,fat,sfat,cholesterol,sodium,potassium,calcium,vit_A,vit_C,vit_D,vit_E,vit_K,vit_B6,vit_B12,thiamin,riboflavin,niacin,iron,folat,pantotenik,fosfor,magnesium,cinko,copper,selenium,manganese,Class
731,207,61,23.6,0.7,21.22,3.5,11,6.79,44,80.0,199.0,128.0,421.0,60.000.000,8.0,0.3,0.3,48,0.39,41,0.24,116,0.09,5,581,105,14,68.999.999,23,1.8,8,Hayvansal
732,554,10.56,43.8,880.000.000,36.4,8.6,36.3,17.9,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hayvansal
733,73.36,83.24,3.78,1.14,1.66,9.82,2.15,0.46,23.11,257.45,249.27,18.14,1470.73,21.74,1.5,0.47,18.3,0.18,0.07,0.03,0.07,2.92,0.58,27.46,0.21,75.8,18.99,0.45,0.04,6.94,0.1,Hayvansal
734,223,64.48,0,0,0,18.86,16.35,6.963,68,66.0,329.0,14.0,14.0,0,5.0,0.15,1.5,362,2.7,74,144,4.351,2.1,3,649,179,19,7.26,64,19.8,900.000,Hayvansal
735,387,29.14,41.07,2.2,23.9,05.09,23.57,3.217,42,200.0,143.0,30.0,18.0,1.1,0.2,2.46,24.8,89,0.08,154,166,1.217,1.84,38,0,85,27,0.62,215,10.5,0,Mix
736,13,953.199.999,2.18,1,1.18,1.5,0.2,27,0,65.0,252.0,105.0,4468.0,45,0.0,0.09,45.5,194,0,0.04,7.000.000,0.5,0.8,66,8.799.999,37,19,0.19,21,0.5,159,Bitkisel
737,66,85.36,8.24,2.4,03.02,0.82,3.99,2.429,10,412.0,117.0,7.0,31.0,1.2,0.0,0.5,3.1,81,0.01,7.199.999,0.02,56.799.999,0.24,13,0,15,10,0.12,56,0.1,0,Mix
738,40.88,89.67,7.35,0,6.76,02.09,0.35,0.24,2,28.8,0.0,80.0,120.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mix
739,614,1.64,18.82,10.3,4.43,20.96,55.5,4.152,0,7.0,748.0,347.0,1.0,0,0.0,24.21,0,103,0,41,93.900.000,3.155,3.49,53,318,508,279,3.29,93.400.000,2.4,2.131,Mix
740,674,21.77,0.62,0,0,5.24,72.28,31.441,66,43.0,164.0,6.0,201.0,0,4.0,01.02,0,61,0.7,94,58,1.53,0.7,Mikrogram,156,84,9,01.03,0.03,2.1,5,Hayvansal
741,32,91.91,7.84,0,6.11,0,0.05,8,0,42.0,18.0,1.0,0.0,0,0.0,0,0,153,0.91,11,0,1.565,0.09,0,0,1,0,0.01,0,0,0,Mix
742,144.75,68.64,13.47,0.52,0.46,9.66,5.75,1.8,27.16,316.99,176.43,15.82,546.62,7.16,2.06,0.18,05.03,0.24,0.15,0.12,0.05,0,1.25,39.14,0.24,89.71,17.09,0.44,0.03,8.38,0.2,Mix
743,63,84.16,15.22,2.1,11.68,0.2,0.18,0,0,1.0,109.0,7.0,38.0,0,0.0,0.18,1,45,0,13,26,7.000.000,0.1,3,51,13,5,0.04,25,0,31,Bitkisel
744,539,1.56,58.7,5.9,50.2,7,32,6.8,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
745,196,69.47,0.83,0,0.4,13.61,14.84,4.323,401,207.0,152.0,62.0,787.0,0,88.0,1.31,5.6,184,0.97,44,495,82,1.89,51,1.66,215,13,1.39,78,33.1,0.03,Hayvansal
746,211,57.08,21.5,3.3,1.68,9.32,989.000.000,4.642,17,490.0,218.0,191.0,36.0,1.7,0.1,56.000.000,5.7,112,0.15,172,168,1.378,1.75,54,0,181,28,01.02,106,10.8,0,Mix
747,424.13,12.55,64.84,0,43.37,4.84,17.23,0,0,154.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
748,611.39,15.32,15.03,7.2,2.78,3.81,64.21,38.63,158.09,16.03,550.77,56.83,129732.35,20.22,44.12,9.61,26.41,0.65,0.13,0.09,0.27,0,02.07,30.27,0.08,95.21,41.71,0.73,0.11,03.07,0.53,Hayvansal
749,208,59.61,0,0,0,24.62,11.45,1.528,142,307.0,397.0,382.0,32.0,0,192.0,02.04,2.6,167,8.94,0.08,227,5.245,2.92,10,0,490,39,1.31,186,52.7,0,Hayvansal
750,134,707.600.000,16.61,2.2,0.91,06.05,5.54,3.014,27,208.0,116.0,42.0,53.0,5,8.0,0.37,1.1,67,0.91,0.09,8.699.999,1.842,1.21,14,0,110,34,0.93,154,24.2,0,Mix
751,228.94,56.63,25.99,1.54,16.92,3.9,12.82,05.05,28.74,110.55,140.54,96.73,31.04,0.57,27.36,1.53,0.62,0.08,0.23,0.08,0.14,0.41,0.75,14.85,0.34,101.44,21.7,0.59,0.14,5.66,0.37,Mix
752,884,0,0,0,0,0,100,90,0,0.0,0.0,0.0,0.0,0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bitkisel
753,483,985.999.999,60.3,0.4,5.1,3.9,25,11.1,0,927.0,1196.0,21.0,0.0,21.6,0.0,10.45,22.1,531,0,213,8.799.999,4.762,1.28,29,0,153,63,01.09,234,2.5,0,Bitkisel
754,49,87.92,5.49,3.9,0.39,2.65,2.66,1.287,5,228.0,114.0,138.0,16.0,17.7,0.0,0.91,394.9,124,0,39,104,55.900.000,1.1,16,0,32,20,0.23,0.05,0.5,0,Hayvansal
755,117,744.599.999,0,0,0,21.22,3.53,1.47,68,76.0,344.0,11.0,7.0,0,3.0,0.2,1.5,448,03.02,0.08,0.22,3.74,2.26,3,0.91,216,24,7.93,8.400.000,25.2,12,Hayvansal
